"","季度","縣市","地區","品項定位","款式","銷售總金額"
"432","第四季","澎湖縣","一般縣市","特定性別","一般款",626.85
"433","第四季","澎湖縣","一般縣市","特定性別","自動扣",279.3
"434","第四季","澎湖縣","一般縣市","特定性別","針棒",139.125
"435","第四季","花蓮縣","一般縣市","中性","一般款",1811.25
"436","第四季","花蓮縣","一般縣市","中性","自動扣",1256.85
"437","第四季","花蓮縣","一般縣市","中性","針棒",1253.7
"438","第四季","花蓮縣","一般縣市","特定性別","一般款",835.275
"439","第四季","花蓮縣","一般縣市","特定性別","自動扣",1396.5
"440","第四季","花蓮縣","一般縣市","特定性別","針棒",1113
"441","第四季","苗栗縣","一般縣市","中性","一般款",2717.925
"442","第四季","苗栗縣","一般縣市","中性","自動扣",1745.625
"443","第四季","苗栗縣","一般縣市","中性","針棒",2298.45
